linear,angular
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.141592653589793116e+00
2.000000000000000111e-01,6.283185307179586232e+00
3.000000000000000444e-01,9.424777960769379348e+00
4.000000000000000222e-01,1.256637061435917246e+01
5.000000000000000000e-01,1.570796326794896558e+01
5.999999999999999778e-01,1.884955592153875870e+01
6.999999999999999556e-01,2.199114857512855181e+01
7.999999999999999334e-01,2.513274122871834493e+01
8.999999999999999112e-01,2.827433388230813804e+01
9.999999999999998890e-01,3.141592653589793116e+01
1.099999999999999867e+00,3.455751918948772072e+01
1.199999999999999956e+00,3.769911184307751739e+01
1.300000000000000044e+00,4.084070449666731406e+01
1.400000000000000133e+00,4.398229715025711073e+01
1.500000000000000222e+00,4.712388980384690740e+01
1.600000000000000311e+00,5.026548245743670407e+01
1.700000000000000400e+00,5.340707511102650074e+01
1.800000000000000488e+00,5.654866776461629740e+01
1.900000000000000577e+00,5.969026041820609407e+01
2.000000000000000444e+00,6.283185307179589074e+01
2.100000000000000533e+00,6.597344572538568741e+01
2.200000000000000622e+00,6.911503837897548408e+01
2.300000000000000711e+00,7.225663103256528075e+01
2.400000000000000799e+00,7.539822368615507742e+01
2.500000000000000888e+00,7.853981633974487409e+01
2.600000000000000977e+00,8.168140899333467075e+01
2.700000000000001066e+00,8.482300164692446742e+01
2.800000000000001155e+00,8.796459430051426409e+01
2.900000000000001243e+00,9.110618695410406076e+01
3.000000000000001332e+00,9.424777960769385743e+01
3.100000000000001421e+00,9.738937226128365410e+01
3.200000000000001510e+00,1.005309649148734508e+02
3.300000000000001599e+00,1.036725575684632474e+02
3.400000000000001688e+00,1.068141502220530441e+02
3.500000000000001776e+00,1.099557428756428408e+02
3.600000000000001865e+00,1.130973355292326374e+02
3.700000000000001954e+00,1.162389281828224341e+02
3.800000000000002043e+00,1.193805208364122308e+02
3.900000000000002132e+00,1.225221134900020274e+02
4.000000000000001776e+00,1.256637061435918241e+02
4.100000000000001421e+00,1.288052987971816208e+02
4.200000000000001066e+00,1.319468914507714032e+02
4.300000000000000711e+00,1.350884841043611857e+02
4.400000000000000355e+00,1.382300767579509682e+02
4.500000000000000000e+00,1.413716694115407506e+02
4.599999999999999645e+00,1.445132620651305331e+02
4.699999999999999289e+00,1.476548547187203155e+02
4.799999999999998934e+00,1.507964473723100980e+02
4.899999999999998579e+00,1.539380400258998804e+02
